Title,Company,Location,URL,Source,Is Remote,Is Internship,Salary / Stipend,Match Score,Match Reasoning,Status,Date Found
Web Developer Intern,Braun Management,"Amsterdam, North Holland, Netherlands",https://nl.linkedin.com/jobs/view/web-developer-intern-at-braun-management-4424092394?position=60&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=AoyuYnmGyACOUQW0CRTNnQ%3D%3D,linkedin,No,No,,75,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.552Z
JavaScript Developer intern,Softnauts - AI Software Development Company,"Cracow, Małopolskie, Poland",https://pl.linkedin.com/jobs/view/javascript-developer-intern-at-softnauts-ai-software-development-company-4368051056?position=59&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=X7xlsDVTNI8m7bU78igZeg%3D%3D,linkedin,No,No,,78,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.545Z
Frontend Developer Intern,JobLuxe,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/frontend-developer-intern-at-jobluxe-4422333757?position=58&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=liG%2BG0dosCPaqB%2ByQdugwQ%3D%3D,linkedin,No,No,,75,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.538Z
Frontend Developer Intern (React),Campeón Gaming,Athens Metropolitan Area,https://gr.linkedin.com/jobs/view/frontend-developer-intern-react-at-campe%C3%B3n-gaming-4417931024?position=57&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=GJzktLe7aIhJ2pzBtre5cg%3D%3D,linkedin,No,No,,75,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.530Z
Junior React Developer,Sophilabs,"Departamento Uruguay, Entre Ríos Province, Argentina",https://ar.linkedin.com/jobs/view/junior-react-developer-at-sophilabs-4405566753?position=56&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=lA6ooY7Wyi5Bw5UU4avbXw%3D%3D,linkedin,No,No,,67,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",REJECTED,2026-06-04T09:22:33.523Z
Part Time Working Student (Front End Developer),Siemens,"Gebze, Kocaeli, Türkiye",https://tr.linkedin.com/jobs/view/part-time-working-student-front-end-developer-at-siemens-4406563167?position=55&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=kEewKxedL1G4bToCpl7KQA%3D%3D,linkedin,No,No,,67,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",REJECTED,2026-06-04T09:22:33.516Z
Front End Developer Internship,Infrabyte Consulting,India,https://in.linkedin.com/jobs/view/front-end-developer-internship-at-infrabyte-consulting-4423310452?position=54&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=5gNpfsWJmPyHccbkU5bs9A%3D%3D,linkedin,No,No,,75,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.508Z
Frontend Engineer Intern,Dexmate,"Santa Clara, CA",https://www.linkedin.com/jobs/view/frontend-engineer-intern-at-dexmate-4376182749?position=53&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=lZDBRsBPgojBQeyGZ9nRow%3D%3D,linkedin,No,No,,75,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",MATCHED,2026-06-04T09:22:33.500Z
Junior JavaScript Developer - Remote work | REF#283765,BairesDev,"Patna, Bihar, India",https://in.linkedin.com/jobs/view/junior-javascript-developer-remote-work-ref%23283765-at-bairesdev-4258060705?position=52&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=LQdlldGmHI7jIcaIMJFo3A%3D%3D,linkedin,No,No,,70,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",REJECTED,2026-06-04T09:22:33.491Z
Part Time Working Student (Front End Developer),Siemens,"Kocaeli, Kocaeli, Türkiye",https://tr.linkedin.com/jobs/view/part-time-working-student-front-end-developer-at-siemens-4406569107?position=51&pageNum=0&refId=ALoaP7A9gUkbAB2i00Ea%2Fw%3D%3D&trackingId=BvNQajlfUAkixIeu6rIecg%3D%3D,linkedin,No,No,,67,"Heuristic fallback match. Matched Categories: Frontend / Web Development. Key matched skills: JavaScript, frontend development with HTML5/CSS3.",REJECTED,2026-06-04T09:22:33.483Z
